OBJECTID_1,STATION_ID,COUNTY,LATITUDE,LONGITUDE,ATIS_ID,SE_ANNO_CAD_DATA,LINE_CODE,LAYER,MUNICIPALITY,RAIL_SERVICE,ADA,x,y
99,Atlantic City,Atlantic,39.3633,-74.44148,10,System.Byte[],AC,STATIONS,Atlantic City,AC,YES,508670.869972344,193016.984270521
100,Suffern,"Rockland, NY",41.11354,-74.15344,145,System.Byte[],ML,STATIONS,Suffern,"ML, BC",NO,587614.015235342,830750.820348859
101,Mahwah,Bergen,41.09438,-74.14661,78,System.Byte[],ML,STATIONS,Mahwah Twp,"ML, BC",NO,589523.938580845,823776.28738194
102,Ramsey,Bergen,41.05691,-74.14205,129,System.Byte[],ML,STATIONS,Ramsey,"ML, BC",YES,590836.337202758,810130.55089394
103,Allendale,Bergen,41.03094,-74.13099,3,System.Byte[],ML,STATIONS,Allendale,"ML, BC",NO,593927.715534426,800682.361457027
104,Waldwick,Bergen,41.0128,-74.12342,152,System.Byte[],ML,STATIONS,Waldwick,"ML, BC",NO,596043.409137677,794082.551165856
105,Ho-Ho-Kus,Bergen,40.99737,-74.11352,63,System.Byte[],ML,STATIONS,Ridgewood,"ML, BC",NO,598799.570292011,788473.528919354
106,Ridgewood,Bergen,40.98067,-74.12057,132,System.Byte[],ML,STATIONS,Ridgewood,"ML, BC",NO,596881.215861008,782382.595563188
107,Glen Rock-Main,Bergen,40.96225,-74.13345,52,System.Byte[],ML,STATIONS,Glen Rock,ML,NO,593352.832825925,775654.200227357
108,Hawthorne,Passaic,40.94254,-74.15241,57,System.Byte[],ML,STATIONS,Hawthorne,ML,NO,588144.077167343,768452.998750523
109,Paterson,Passaic,40.91493,-74.16732,117,System.Byte[],ML,STATIONS,Paterson,ML,YES,584063.421286676,758377.853546523
110,Clifton,Passaic,40.86799,-74.15317,29,System.Byte[],ML,STATIONS,Clifton,ML,NO,588042.170218926,741293.317833774
111,Passaic,Passaic,40.84943,-74.13393,116,System.Byte[],ML,STATIONS,Passaic,ML,NO,593391.349153094,734555.360181108
112,Delawanna,Passaic,40.83137,-74.13126,33,System.Byte[],ML,STATIONS,Clifton,ML,NO,594159.255097594,727976.677144274
113,Lyndhurst,Bergen,40.81647,-74.12424,75,System.Byte[],ML,STATIONS,Lyndhurst Twp,ML,NO,596124.926363092,722558.390408687
114,Glen Rock-Boro Hall,Bergen,40.96133,-74.12929,51,System.Byte[],BC,STATIONS,Glen Rock,BC,YES,594502.587088093,775325.972209275
115,Radburn,Bergen,40.93992,-74.12161,127,System.Byte[],BC,STATIONS,Fair Lawn,BC,NO,596658.777985677,767534.765022688
116,Broadway,Bergen,40.92251,-74.11523,25,System.Byte[],BC,STATIONS,Fair Lawn,BC,NO,598447.796061177,761200.10052669
117,Plauderville,Bergen,40.88494,-74.10268,122,System.Byte[],BC,STATIONS,Garfield,BC,YES,601976.911050174,747528.081939027
118,Garfield,Bergen,40.86667,-74.10556,46,System.Byte[],BC,STATIONS,Garfield,BC,NO,601212.067107428,740868.781281278
119,Rutherford,Bergen,40.8283,-74.10058,135,System.Byte[],BC,STATIONS,Rutherford,BC,NO,602653.229251344,726896.032323942
120,Spring Valley,"Rockland, NY",41.11197,-74.04399,143,System.Byte[],PV,STATIONS,Spring Valley,PV,YES,617772.635036092,830319.153889358
121,Nanuet,"Rockland, NY",41.09,-74.01471,101,System.Byte[],PV,STATIONS,"Clarkstown, Town Of",PV,YES,625885.223797761,822357.623552606
122,Pearl River,"Rockland, NY",41.05819,-74.02231,119,System.Byte[],PV,STATIONS,"Orangetown, Town Of",PV,NO,623853.90404151,810756.631334692
123,Montvale,Bergen,41.04088,-74.02915,91,System.Byte[],PV,STATIONS,Montvale,PV,YES,622002.841470677,804440.692194939
124,Park Ridge,Bergen,41.03231,-74.03616,115,System.Byte[],PV,STATIONS,Park Ridge,PV,NO,620085.473258175,801308.642684773
125,Hillsdale,Bergen,41.00241,-74.04103,61,System.Byte[],PV,STATIONS,Hillsdale,PV,NO,618799.976813424,790406.168754861
126,Westwood,Bergen,40.99086,-74.03272,157,System.Byte[],PV,STATIONS,Westwood,PV,YES,621114.97152726,786212.478323355
127,Emerson,Bergen,40.97508,-74.02746,42,System.Byte[],PV,STATIONS,Emerson,PV,NO,622598.063705426,780470.831014022
128,Oradell,Bergen,40.95348,-74.02998,112,System.Byte[],PV,STATIONS,Oradell,PV,NO,621944.808450259,772596.495384775
129,River Edge,Bergen,40.93515,-74.02914,134,System.Byte[],PV,STATIONS,River Edge,PV,NO,622213.066115841,765920.030391276
130,New Bridge Landing,Bergen,40.91084,-74.03505,111,System.Byte[],PV,STATIONS,River Edge,PV,NO,620626.999078009,757057.356515609
131,Anderson Street-Hackensack,Bergen,40.89446,-74.04378,5,System.Byte[],PV,STATIONS,Hackensack,PV,NO,618246.092422508,751074.940658942
132,Essex Street-Hackensack,Bergen,40.879,-74.05188,43,System.Byte[],PV,STATIONS,Hackensack,PV,YES,616033.964300841,745430.746894859
